b1,v1,b2,v2,b3,v3
0,0,0,0,0,0
-.091351651,.000036209072,-.086108968,.000043165495,-.074885681,.000035752266
-.13951355,.000091998583,-.12744525,.000095432631,-.1426986,.000057773788
.015302151,.000016858325,.0054246779,.000010116416,.016413897,.000013118126
-.052491866,.000034888981,-.043360237,.000046322886,-.056099303,.000041703555
-.10871956,.00010803845,-.095171332,.00011530834,-.10191316,.00007036257
.04890658,.000034232333,.040418845,.000030358084,.03572727,.000063124731
-.041201152,.000048541377,-.027646206,.000045649165,-.033097897,.000052992618
-.069592774,.000092651157,-.060650211,.00012626128,-.077459075,.00010611692
.078843385,.000043195385,.068669066,.000049236922,.070411585,.000050321451
-.010479233,.000037808684,.0047761775,.000076220953,.016690487,.000074654992
-.09061306,.00010896253,-.061784048,.00014958349,-.063576624,.00015030892
